"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "PostCSS", "XML", "JavaScript JSX", "MS SQL", "comment", "blank", "total"
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\src\components\ToastList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 7, 48
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\src\components\UploadHouseStep.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 153, 0, 0, 12, 165
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\src\components\UploadSampleStep.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 127, 0, 0, 12, 139
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\src\components\WizardNavigation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 2, 49
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\src\hooks\useAdminUsers.js", "JavaScript", 0, 0, 140, 0, 0, 0, 0, 0, 0, 14, 154
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\src\hooks\useHistoryManager.js", "JavaScript", 0, 0, 115, 0, 0, 0, 0, 0, 1, 14, 130
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\src\hooks\useToasts.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 7, 39
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\src\hooks\useWizardFlow.js", "JavaScript", 0, 0, 387, 0, 0, 0, 0, 0, 3, 46, 436
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 1838, 0, 0, 0, 11, 291, 2140
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\src\utils\wizard.js", "JavaScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 5, 48
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\vite.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 1, 2, 9
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\package-lock.json", "JSON", 0, 2220, 0, 0, 0, 0, 0, 0, 0, 1, 2221
